"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"GENESIS IMPORT INC","GENESIS IMPORT INC","42-28837-0000","Importer (vinous & spirituous)","2019-08-09","5559 QUAIL CT","Arvada","CO",80002
"VILLA NAPOLI CORPORATION","VILLA NAPOLI","22-60693-0000","Hotel & Restaurant (city)","2019-10-29","12006 W 64TH AVE","Arvada","CO",800044010
"APRO LLC","MY GOODS MARKET #746","04-00458","Fermented Malt Beverage Off (city)","2019-10-18","14405 WEST 64TH AVENUE","Arvada","CO",80004
"SUPER STAR CO. & 7-ELEVEN, INC.","7-ELEVEN STORE 35606B","04-00525","Fermented Malt Beverage Off (city)","2019-07-10","5785 WARD ROAD","Arvada","CO",80002
"YAK & YETI  LLC","YAK & YETI","42-61008-0000","Brew Pub (city)","2020-01-07","7803 RALSTON RD","Arvada","CO",80002
"HIWAT CORPORATION","HILL TOP LIQUORS","03-09435","Liquor Store (city)","2020-04-04","6390 WADSWORTH BOULEVARD UNIT B","Arvada","CO",80003
"THE ARVADA LIBERATION LLC","ARVADA TAVERN THE","03-00563","Tavern (city)","2020-01-02","5707 OLDE WADSWORTH BLVD UNIT A&B","Arvada","CO",80002
"BRADLEY CO LLC","WESTY'S WINE AND SPIRITS","03-08954","Liquor Store (city)","2019-12-07","6318 WARD ROAD  UNIT 14","Arvada","CO",80004
"PEAK 7 VODKA LLC","PEAK 7 VODKA LLC","03-01963","Wholesale (vinous & spirituous)","2019-10-21","13999 W 64TH AVE UNIT D020","Arvada","CO",80004
"ARVADA AL, LLC","MORNINGSTAR OF ARVADA","03-09882","Hotel & Restaurant (city)","2019-06-18","17351 WEST 64TH AVENUE","Arvada","CO",80007
"CST METRO LLC","CIRCLE K #2741177","21-79919-0169","Fermented Malt Beverage Off (city)","2019-10-13","9989 W 80TH AVE","Arvada","CO",800053912
"AJ CORPORATION","MARSHALL LIQUORS","03-05805","Liquor Store (county)","2020-01-06","5216 MARSHALL STREET","Arvada","CO",80002
"ADEEL TARIQ INC & 7-ELEVEN INC","7-ELEVEN STORE 13140A","42-64331-0000","Fermented Malt Beverage Off (city)","2019-12-15","5405 MARSHALL ST","Arvada","CO",800023801
"VEECEE INC","ARVADA WINE & SPIRITS","03-09434","Liquor Store (city)","2020-03-05","6350 SHERIDAN BOULEVARD SUITE 117","Arvada","CO",80003
"RUSTY TACO, INC.","R TACO","03-06202","Hotel & Restaurant (city)","2019-04-21","7630 WEST 80TH AVENUE","Arvada","CO",80005
"DILLON COMPANIES LLC","KING SOOPERS #137","04-00811","Fermented Malt Beverage Off (city)","2019-08-06","14967 CANDELAS PARKWAY","Arvada","CO",80007
"BIG SLICE II LLC","ANTHONY'S PIZZA & PASTA CO-24","42-56152-0000","Hotel & Restaurant (city)","2019-07-14","5324 WADSWORTH BLVD #A","Arvada","CO",800023713
"MINI MART INC","LOAF 'N JUG #94","03-27943-0117","Fermented Malt Beverage Off (city)","2020-02-28","16355 WEST 64TH AVENUE","Arvada","CO",800047403
"WINGBATS LLC","WINGSTOP OF ARVADA","41-17504-0000","Hotel & Restaurant (city)","2020-02-03","8025 SHERIDAN BLVD UNIT U","ARVADA","CO",800031926
"SUNNY INC","TEA GARDEN","03-07012","Hotel & Restaurant (city)","2019-10-06","10290 RALSTON ROAD","Arvada","CO",80004
"EGGSTRODINARY RESTAURANTS SHERIDAN LLC","MORNING STORY","03-10837","Hotel & Restaurant (city)","2019-12-16","8025 SHERIDAN BLVD UNIT Y","Arvada","CO",80003
"ARVADA CITY OF","LAKE ARBOR GOLF COURSE RESTAURANT","22-99566-0000","Hotel & Restaurant (city)","2019-06-03","8600 WADSWORTH","Arvada","CO",80003
"RUSTY TACO INC","R TACO","03-07967","Hotel & Restaurant (city)","2019-05-30","12368 WEST 64TH AVENUE UNIT 12","Arvada","CO",80004
"LAMAR STREET CENTER LLC","LAMAR STREET CENTER","03-05712","Lodging & Entertainment (City)","2020-02-02","5889 LAMAR STREET","Arvada","CO",80003
"THE BIG CHEESE WADS88 LLC","MARCO'S PIZZA","03-09692","Hotel & Restaurant (city)","2019-05-03","7699 WEST 88TH AVENUE","Arvada","CO",80005
"ARVADA HOTEL INVESTORS LLC","HILTON GARDEN INN DENVER/ARVADA","03-07382","Hotel & Restaurant (city)","2020-01-12","5455 OLDE WADSWORTH BLVD","Arvada","CO",80002
"ROSE GARDEN INC","ROSE GARDEN CHINESE RESTAURANT","25-27481-0000","Hotel & Restaurant (city)","2019-10-22","7503 W 80TH AVE","Arvada","CO",800032113
"TRANG & MONA, LLC","LTM LIQUORS","03-10281","Liquor Store (city)","2019-08-27","6790 SHERIDAN BOULEVARD UNIT B","Arvada","CO",80003
"DONAVON BEVERAGE, LLC","DONAVON BREWING COMPANY","03-09990","Wholesale Beer (malt liquor)","2019-08-07","10600 WEST 73RD PLACE","Arvada","CO",80005
"WEST WOODS WINE & SPRITS LLC","WEST WOODS WINE & SPIRITS","40-56541-0000","Liquor Store (city)","2019-04-22","16255 W 64TH AVE UNIT I","ARVADA","CO",800077400
"TWILIGHT LIQUORS LLC","TWILIGHT LIQUORS","03-06905","Liquor Store (city)","2019-09-06","6430 WADSWORTH BOULEVARD","Arvada","CO",80003
"TEXAS ROADHOUSE HOLDINGS LLC","TEXAS ROADHOUSE","14-34930-0005","Hotel & Restaurant (city)","2019-08-31","5515 VANCE ST","Arvada","CO",800023144
"TOP TIER COLORADO LLC","HUHOT MONGOLIAN GRILL","03-02305","Hotel & Restaurant (city)","2019-12-15","7450 WEST 52ND AVENUE","Arvada","CO",80002
"TYRRELL ENTERPRISES LLC","GRANDVIEW TAVERN AND GRILL","03-07584","Hotel & Restaurant (city)","2020-02-26","7427 GRANDVIEW AVENUE","Arvada","CO",80002
"E B H INC","STARDUST LOUNGE","11-47798-0000","Tavern (city)","2019-12-31","5205 MARSHALL RD","Arvada","CO",800023932
"SUNCOR ENERGY SALES INC.","SHELL #339","04-00798","Fermented Malt Beverage Off (city)","2019-08-06","5350 WADSWORTH BYPASS","Arvada","CO",80002
"BATHINDA, INC & 7-ELEVEN, INC","7-ELEVEN STORE 18594A","42-99854-0000","Fermented Malt Beverage Off (city)","2020-04-24","8002 CHASE DR","Arvada","CO",80003
"SOMEPLACE ELSE LLC","SOMEPLACE ELSE BREWERY","03-06388","Wholesale Beer (malt liquor)","2019-08-07","6425 WEST 52ND AVENUE UNIT 6","Arvada","CO",80002
"ODYSSEY BEERWERKS, LLC","ODYSSEY BEERWERKS, LLC","04-00979","Fermented Malt Beverage Manufacturer","2019-10-23","5535 W 56TH AVENUE SUITE 107","Arvada","CO",80002
"H T & T LIQUORS INC","H T & T LIQUORS","24-61509-0000","Liquor Store (city)","2020-03-10","6415 SHERIDAN BOULEVARD","Arvada","CO",800034749
"SOMEPLACE ELSE LLC","SOMEPLACE ELSE BREWERY","03-06389","Manufacturer (brewery)","2019-08-07","6425 WEST 52 AVENUE UNIT 6","Arvada","CO",80002
"RGCS LLC","CHEAPSKATES","42-91485-0000","Tavern (city)","2019-08-17","7501 GRANDVIEW AVE","Arvada","CO",80002
"PRIMO VINO, INC","PRIMO VINO","41-06974-0000","Liquor Store (city)","2019-08-18","5713 OLDE WADSWORTH BLVD","Arvada","CO",80002
"BIG CHEESE FIVE PARKS INC THE","MARCO'S PIZZA","42-72226-0000","Hotel & Restaurant (city)","2019-12-15","8560 FIVE PARKS DR UNIT C313","Arvada","CO",800055817
"LUCKY FINS ARVADA LLC","SMOKIN FINS","03-09393","Hotel & Restaurant (city)","2020-02-06","7600 GRANDVIEW AVENUE SUITE 100","Arvada","CO",80002
"TRACY'S PLACE LLC","TRACY'S PLACE","03-06627","Beer & Wine (city)","2019-07-28","7330 WEST 88TH AVENUE  UNIT E","Arvada","CO",80021
"DILLON COMPANIES LLC","KING SOOPERS DIV NO 45","01-10779-0060","Fermented Malt Beverage Off (city)","2019-11-22","12350 WEST 64TH AVENUE","Arvada","CO",800044016
"ONKAR INC","GAS AND FOOD STORE","42-47842-0000","Fermented Malt Beverage Off (city)","2020-01-15","6215 CARR ST","Arvada","CO",800043449
"KLINES LLC","KLINE'S BEER HALL","03-05081","Tavern (city)","2019-08-02","7519 GRANDVIEW AVENUE","Arvada","CO",80002
"QDOBA RESTAURANT CORPORATION","QDOBA MEXICAN EATS","28-14915-0039","Hotel & Restaurant (city)","2020-03-01","5095 KIPLING ST","Arvada","CO",80002
"STICKY FINGERS HOUSE OF SMOKE LLC","STICKY FINGERS HOUSE OF SMOKE","03-10429","Hotel & Restaurant (city)","2019-09-13","5495 MARSHALL STREET","Arvada","CO",80002
"AMER LEGION POST","WILMORE RICHTER 161","11-02440-0000","Club License (city)","2019-12-31","6230 WEST 60TH AVENUE","Arvada","CO",800035606
"WALMART INC.","WALMART #4734","04-00596","Fermented Malt Beverage On/Off (city)","2019-06-13","9400 RALSTON ROAD","Arvada","CO",80002
"SUSHI YAYA, LLC","SUSHI YAYA","03-06578","Beer & Wine (city)","2019-08-25","8025 SHERIDAN BOULEVARD UNIT T","Arvada","CO",80003
"GOTHAM CITY TAVERN GROUP LLC","ROCKABILLIES","42-87359-0000","Hotel & Restaurant (city)","2020-03-03","12363 WEST 64TH AVENUE","Arvada","CO",80004
"SAPRIYA CORPORATION","ALL IN ONE STORE","04-00810","Fermented Malt Beverage On (city)","2019-08-06","6725 WADSWORTH BOULEVARD","Arvada","CO",80003
"COLORADO LIQUOR COMPANY INC","COSTCO LIQUORS","40-71702-0000","Liquor Store (city)","2019-08-20","5185 WADSWORTH BLVD","ARVADA","CO",800024617
"MALONES LLC","MALONES CLUBHOUSE GRILL","03-09394","Hotel & Restaurant (city)","2020-04-10","14455 WEST 64TH AVENUE BUILDING 3C UNIT B","Arvada","CO",80004
"FORTUNATO FAMILY WINERY INC","FORTUNATO FAMILY WINERY","03-00988","Limited Winery","2019-06-03","6601 INDIANA ST  UNIT A","Arvada","CO",80007
"DILLON COMPANIES LLC","KING SOOPERS #85","01-10779-0166","Fermented Malt Beverage Off (city)","2019-10-14","15200 W 64TH AVE","Arvada","CO",80004
"THE BLUEGRASS LLC","THE BLUEGRASS","03-04794","Tavern (city)","2019-06-17","7411, 7413 & 7415 GRANDVIEW AVE","Arvada","CO",80002
"ODYSSEY BEERWERKS LLC","HIGH GRAVITY BREWING INC","03-02576","Alternating Proprietor Premises",NULL,"5535 W 56TH AVE SUITE 107","Arvada","CO",80002
"JNDF LLC","EL SENOR SOL REAL MEXICAN FOOD","42-73206-0000","Hotel & Restaurant (city)","2019-09-23","6380 MCINTYRE PKWY","Arvada","CO",80403
"BETTY JANE'S BEVERAGES, LLC","BETTY JANE'S BEVERAGES","03-09051","Liquor Store (city)","2019-04-30","7550 SHERIDAN BOULEVARD","Arvada","CO",80003
"SAM'S WEST INC","SAM'S CLUB #6630","04-01040","Fermented Malt Beverage Off (city)","2019-12-17","7370 WEST 52ND AVENUE","Arvada","CO",80002
"VETERANS OF FOREIGN WARS","ARVADA POST NO 4331","22-23974-0000","Club License (county)","2019-08-24","5340 MARSHALL","Arvada","CO",800023933
"COSTCO WHOLESALE CORP","COSTCO WHOLESALE NO 676","14-45143-0001","Fermented Malt Beverage Off (city)","2019-12-25","5195 WADSWORTH BLVD","Arvada","CO",800024617
"GRAND LAKE BREWING COMPANY LLC THE","GRAND LAKE BREWING COMPANY THE","26-43562-0002","Wholesale Beer (malt liquor)","2019-03-05","5610 YUKON ST","Arvada","CO",80002
"HARKINS ARVADA LLC","HARKINS THEATRES","03-09075","Lodging & Entertainment (City)","2020-02-13","5550 WADSWORTH BOULEVARD","Arvada","CO",80002
"ARVADA WINGS LLC","BUFFALO WILD WINGS","13-35961-0000","Hotel & Restaurant (city)","2019-09-24","8350 W 80TH AVE","Arvada","CO",800054471
"P R T D CORP","RANDIS PIZZA & ITALIAN REST","11-85326-0000","Hotel & Restaurant (city)","2019-09-06","12312 W 64TH AV","Arvada","CO",800044016
"K & T STYLISTS, LLC","SERENITY AT FIVE PARKS","03-10195","Beer & Wine (city)","2019-07-16","8565 FIVE PARKS DRIVE","Arvada","CO",80005
"BEST PIZZA LLC","MOD PIZZA","03-10383","Beer & Wine (city)","2019-08-28","9515 RALSTON ROAD SUITE 100","Arvada","CO",80002
"DILENEC USA LLC","DILENEC USA LLC","03-09256","Importer (vinous & spirituous)","2019-02-25","6634 ORCHARD COURT","Arvada","CO",80007
"GOLDEN EUROPE RESTAURANT, INC","GOLDEN EUROPE RESTAURANT","23-29414-0000","Hotel & Restaurant (city)","2019-06-22","6620 WADSWORTH BLVD","Arvada","CO",80003
"BREAD WINNERS INC.","BREAD WINNERS","03-03600","Hotel & Restaurant (city)","2019-09-23","7311 GRANDVIEW AVE","Arvada","CO",80002
"ZAIGER & WELCH HOLDINGS LLC","FUZZY'S TACO SHOP ARVADA","03-00389","Hotel & Restaurant (city)","2019-10-08","5760 OLDE WADSWORTH BLVD Unit B-C","Arvada","CO",80002
"HOMEGROWN TAP & DOUGH ARVADA LLC","HOMEGROWN TAP & DOUGH","03-06152","Hotel & Restaurant (city)","2020-03-07","5601 OLDE WADSWORTH BLVD STE 100","Arvada","CO",80002
"BELOW ZERO CORPORATION & 7-ELEVEN, INC","7-ELEVEN STORE 18418B","04-00323","Fermented Malt Beverage Off (city)","2019-06-24","7355 RALSTON ROAD, UNIT R-100","Arvada","CO",80002
"NAMIKO'S CORP","NAMIKO'S JAPANESE RESTAURANT","24-12812-0000","Hotel & Restaurant (city)","2019-12-12","7310 W 52ND AVE","Arvada","CO",800023700
"UNITED LIQUORS, LLC","UNITED LIQUORS","03-09372","Liquor Store (city)","2020-02-26","5490 WADSWORTH BYPASS","Arvada","CO",80002
"LEE JONG KOOK","LAGUARDIA LIQUORS","12-14401-0000","Liquor Store (city)","2019-08-04","8008 CHASE DR","Arvada","CO",800031806
"TALNUA LLC","TALNUA","03-09124","Manufacturer (distillery & rectifier)","2020-02-11","5405 WEST 56TH AVENUE UNIT C","Arvada","CO",80002
"ILLEGAL BURGER LLC","ILLEGAL BURGER","03-02841","Hotel & Restaurant (city)","2019-03-31","15400 WEST 64TH AVENUE  UNIT 1A","Arvada","CO",80007
"DENVER BEER CO ARVADA LLC","DENVER BEER CO","03-07773","Manufacturer (brewery)","2019-05-25","5768 OLDE WADSWORTH BLVD","Arvada","CO",80002
"TALNUA LLC","TALNUA","03-09125","Wholesale (vinous & spirituous)","2020-02-11","5405 WEST 56TH AVENUE UNIT C","Arvada","CO",80002
"LOT ONE LLC","LOT ONE","03-11231","Hotel & Restaurant (city)","2020-03-03","13730 WEST 85TH DRIVE UNIT 101","Arvada","CO",80005
"RED ROBIN WEST INC","RED ROBIN GOURMET BURGERS + BREWS","14-41748-0002","Hotel & Restaurant (city)","2019-06-21","7460 W 52ND AVE","Arvada","CO",800023710
"QDOBA RESTAURANT CORPORATION","QDOBA MEXICAN EATS","03-00411","Hotel & Restaurant (city)","2019-10-01","14575 64TH AVE","Arvada","CO",80004
"SARASAMAR INC","OBERON LIQUOR","03-09247","Liquor Store (city)","2020-02-12","6601 OBERON ROAD UNIT B","Arvada","CO",80004
"A DIFFERENT KIND OF BEAN INC","STEAMERS COFFEE HOUSE & JACK'S","42-47247-0000","Hotel & Restaurant (city)","2019-07-30","8565 FIVE PARKS DR STE 100","Arvada","CO",80005
"A & B ENTERPRISES INC","BROWN JUG","03-07261","Liquor Store (city)","2020-01-12","6205 CARR STREET","Arvada","CO",800043449
"SUNCOR ENERGY SALES INC","SHELL","41-44268-0004","Fermented Malt Beverage Off (city)","2019-11-19","6400 SHERIDAN BLVD","Arvada","CO",800036542
"ODYSSEY BEERWERKS, LLC","ODYSSEY BEERWERKS, LLC","03-00948","Manufacturer (brewery)","2019-04-03","5535 W 56TH AVE, STE 107-108","Arvada","CO",80002
"RKCT INC","BALLOON INN","18-14728-0000","Tavern (city)","2020-02-20","6440 WADSWORTH BLVD","Arvada","CO",80003
"INFINITY RAMEN INC.","303 RAMEN","03-10192","Hotel & Restaurant (city)","2019-08-12","5725 YUKON STREET","Arvada","CO",80002
"MI TIERRA MEXICAN FOOD LLC","MI TIERRA RESTAURANT","42-26181-0000","Hotel & Restaurant (city)","2019-08-06","7605-7607 GRANDVIEW","ARVADA","CO",800022453
"MONTOYA ENTERPRISES INC","TURNING HEADS STUDIO","03-04164","Beer & Wine (city)","2020-02-19","5715 UPHAM ST","Arvada","CO",80002
"TRIPPLE RMG LLC","BERKELEY VILLAGE LIQUOR","03-09497","Liquor Store (county)","2019-07-17","5302 SHERIDAN BLVD","Arvada","CO",80002
"SCHOOL HOUSE ARVADA LLC","SCHOOL HOUSE KITCHEN & LIBATIONS","03-03867","Hotel & Restaurant (city)","2020-01-15","5650, 5656, 5660 OLDE WADSWORTH BLVD","Arvada","CO",80002
"RTJ, LLC","WATER TOWER LIQUORS","42-58239-0000","Liquor Store (city)","2019-06-04","5545 OLDE WADSWORTH BLVD","ARVADA","CO",800022586
"FLOYD BREWING COMPANY LLC","ARVADA BEER COMPANY","03-05662","Alternating Proprietor Premises",NULL,"5600 OLDE WADSWORTH BOULEVARD","Arvada","CO",80002
"A MAJOR CORPORATION","TWINS INN","15-45846-0000","Tavern (county)","2020-01-26","5201 WEST 56TH AVENUE","Arvada","CO",80002
"POTRANCAS, INC.","LAS POTRANCAS","03-03660","Hotel & Restaurant (city)","2020-01-13","11651 W 64TH AVE. C1 & C2","Arvada","CO",80004
"COLORADO HOSPITALITY SERVICES INC","WESTERN BOWL","03-02636","Lodging & Entertainment (City)","2020-03-13","10000 RALSTON RD","Arvada","CO",80004
"BEAR LLC","BEAR CAVE TAVERN","03-10188","Tavern (county)","2019-09-06","6050 WEST 55 PLACE","Arvada","CO",80002
"SUSHI AJI INC","SUSHI AJI","03-00703","Hotel & Restaurant (city)","2019-05-05","14807 WEST 64TH AVENUE  UNIT B","Arvada","CO",80007
"DILLON COMPANIES LLC","KING SOOPERS #121","01-10779-0182","Fermented Malt Beverage Off (city)","2020-02-26","8055 SHERIDAN BLVD","Arvada","CO",800031910
"FLYING PIG BACON INC","FLYING PIG BACON CO","03-10631","Hotel & Restaurant (city)","2019-09-20","5777 OLD WADSWORTH BLVD","Arvada","CO",80002
"SUNCOR ENERGY SALES INC","SHELL","41-44268-0003","Fermented Malt Beverage Off (city)","2019-11-19","12401 W 64TH AVE","Arvada","CO",800043801
"CST METRO LLC","CIRCLE K #2744045","21-79919-0072","Fermented Malt Beverage Off (city)","2019-09-06","6802 WADSWORTH BLVD","Arvada","CO",80003
"ARVADA CITY OF","RESTAURANT AT WEST WOODS THE","12-15147-0000","Hotel & Restaurant / Optional (city)","2019-09-27","6655 QUAKER ST","Arvada","CO",80004
"FRONT RANGE FAST CASUAL ARVADA LLC","NEWK'S EATERY","03-08657","Hotel & Restaurant (city)","2019-10-18","7450 WEST 52ND AVENUE #304","Arvada","CO",80002
"FAMOUS AMERICAN BARBECUE LLC","BENNETTS BAR B QUE","42-66008-0002","Hotel & Restaurant (city)","2019-09-27","7490 W 52ND AVE","Arvada","CO",800023710
"HGS ENTERPRISES INC","CORNERSTONE LIQUOR","41-40581-0000","Liquor Store (city)","2019-11-24","7355 RALSTON RD #R-500","Arvada","CO",800022574
"XCESSIVE THROTTLE INC","JAKE'S ROADHOUSE","41-58193-0000","Tavern (city)","2019-06-14","5980 LAMAR ST","ARVADA","CO",800035619
"GB FISH & CHIPS 4 INC.","GB FISH & CHIPS 4","03-07171","Hotel & Restaurant (city)","2019-11-14","7401 RALSTON ROAD","Arvada","CO",80002
"DILLON COMPANIES LLC","KING SOOPERS DIV NO 22","01-10779-0001","Fermented Malt Beverage Off (city)","2019-12-30","9731 W 58TH AVE","Arvada","CO",80002
"LUNAS INC","LUNAS MEXICAN  RESTAURANT","40-35172-0000","Hotel & Restaurant (city)","2019-09-14","5350 W 64TH AVE","Arvada","CO",800034702
"R& W LLC","LIQUOR PARADISE","03-02511","Liquor Store (city)","2020-03-24","5220 WADSWORTH BYPASS # P","Arvada","CO",80002
"ASPEN SKIING CO LLC","SUNDECK THE","09-76582-0002","Hotel & Restaurant / Optional (county)","2019-11-30","4807 ASPEN MTN RD","Aspen","CO",81611
"ASPEN SKIING COMPANY LLC","ASPEN SKIING COMPANY LLC","26-09248-0000","Master File (Business)",NULL,"PO BOX 1248","Aspen","CO",816121248
"AVALANCHE CHEESE COMPANY LLC","MEAT & CHEESE","03-04759","Hotel & Restaurant (city)","2019-05-17","301 EAST HOPKINS AVENUE  STE 104, 201, 202","Aspen","CO",81611
"CSCP OPERATORS LLC","THE WILD FIG","18-23942-0000","Hotel & Restaurant (city)","2019-11-30","315 E HYMAN #301","Aspen","CO",816112442
"DESTINATION RESIDENCES LLC","GANT THE","04-29142-0000","Hotel & Restaurant (city)","2019-06-08","610 W END","ASPEN","CO",816114125
"MUSIC ASSOCIATES OF ASPEN INC","ASPEN MUSIC FESTIVAL","04-03611-0002","Arts License (city)","2019-06-29","GENERAL DELIVERY - 225 MUSIC SCHOOL RD","Aspen","CO",81611
"RED BRICK CENTER FOR THE ARTS","RED BRICK CENTER FOR THE ARTS","04-38982-0000","Arts License (city)","2019-12-20","110 E HALLAM #118","Aspen","CO",816111460
"S&L WORLDWIDE, LLC","SILVER CITY","03-08578","Tavern (city)","2019-12-04","210 SOUTH GALENA STREET CONDOMINIUM 1 SUITE 1","Aspen","CO",81611
"LA CREPERIE DUVILLAGE LLC","LA CREPERIE DU VILLAGE","42-97702-0000","Tavern (city)","2019-10-03","112 SOUTH MILL STREET","Aspen","CO",81612
"THEATRE ASPEN","THEATRE ASPEN","07-81163-0001","Arts License (city)","2019-06-26","470 RIO GRANDE PL","Aspen","CO",81611
"HILLSTONE RESTAURANT GROUP, INC.","WHITE HOUSE TAVERN THE","03-00909","Hotel & Restaurant (city)","2020-01-09","302 EAST HOPKINS AVENUE","Aspen","CO",81611
"BELLY UP ASPEN LLC","BELLY UP ASPEN","41-96555-0000","Hotel & Restaurant (city)","2020-01-24","450 S GALENA ST #2","Aspen","CO",81611
"CP BURGER LLC","CP BURGER","28-68029-0000","Hotel & Restaurant (city)","2019-09-06","433 E DURANT","Aspen","CO",81611
"METROPOLITAN/ROCKY MOUNTAIN CINEMAS LLC","ISIS THEATRE","18-23549-0000","Beer & Wine (city)","2020-04-15","406 EAST HOPKINS AVE","Aspen","CO",816111908
"ANTOINETTE PARIS LLC","ELLINA","03-10372","Hotel & Restaurant (city)","2019-07-29","430 EAST HYMAN AVENUE","Aspen","CO",81612
"FIERCE AMERICAN FOOD COMPANY LLC","JIMMY'S AN AMERICAN RESTAURANT & BAR","15-10386-0000","Hotel & Restaurant (city)","2019-07-15","205 S MILL ST SPACE 306","ASPEN","CO",816111977
"ONION LLC","RED ONION THE","06-38614-0000","Hotel & Restaurant (city)","2019-06-21","420 EAST COOPER AVENUE  UNIT 2","Aspen","CO",81611
"DOLCE INTERNATIONAL/ASPEN LLC","ASPEN MEADOWS RESORT","40-94538-0000","Hotel & Restaurant (city)","2019-04-21","845 MEADOWS RD","Aspen","CO",816111149
"BOOTSY ASPEN ONE LLC","BOOTSY BELLOWS - ASPEN","03-03058","Tavern (city)","2019-05-18","204 SOUTH GALENA STREET","Aspen","CO",81611
"EAGLES FRATERNALORDER #184 ASPEN ARI","EAGLES FRATERNAL ORDER OF NO 184","04-02059-0001","Club License (city)","2019-12-31","700 E BLEEKER","Aspen","CO",816111554
"CARL'S PHARMACY LLC","CARL'S PHARMACY","28-41106-0000","Liquor Licensed Drug Store (city)","2019-12-28","306 E MAIN ST","Aspen","CO",81611
"CHEFS CLUB ASPEN INC","CHEFS CLUB ASPEN INC","03-01265","Hotel & Restaurant (city)","2019-05-05","315 EAST DEAN STREET","Aspen","CO",81611
"WATERSHED LLC","ASPEN TAP","03-09682","Hotel & Restaurant (city)","2019-07-16","121 SOUTH GALENA STREET UNITS A,B,C","Aspen","CO",81611
"GORSUCH AT ASPEN NON LLC","GORSUCH LTD","03-08920","Tavern (city)","2019-11-26","555 EAST DURANT AVENUE SPACES C1A, C1B, C1C, C1D, C1E","Aspen","CO",81611
"ASPEN SKIING COMPANYLLC","CLIFFHOUSE RESTAURANT","26-09248-0016","Hotel & Restaurant (county)","2019-12-01","2900 W BUTTERMILK RD","Aspen","CO",81611
"ASPEN ESPRESSO COMPANY","ASPEN ESPRESSO","12-79783-0002","Tavern (city)","2019-06-09","510 E DURANT ST, STE 101","Aspen","CO",81611
